iso	alternate names	affiliation	affiliation-HH	country	dialects	language status	language use	location	population numeric	typology	writing
hod	Bali Holma, Da Holmaci	Afro-Asiatic, Chadic, Biu-Mandara, A, A.8	Afro-Asiatic, Chadic, Biu-Mandara, South Biu-Mandara, Bata-Sharwa, Bataic	Nigeria	Related to Nzanyi [nja].	10 (Extinct).	Shifted to Fulfulde [fuv].	Adamawa State, north of Sorau on Cameroon border.	0	NA	NA
hoe	'Kaleri'	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Plateau, Southeastern	Atlantic-Congo, Volta-Congo, Benue-Congo, Benue-Congo Plateau, Southeastern Benue-Congo Plateau, Horom-Fyem	Nigeria	NA	6a (Vigorous).	NA	Plateau State, Bokkos LGA.	1500	NA	NA
hoh	Hewby\'ot, Hobi, Kalam Rifi	Afro-Asiatic, Semitic, South, South Arabian	Afro-Asiatic, Semitic, West Semitic, Modern South Arabian, Mehric	Oman, Yemen	Related to and possibly a mixed language with Mehri [gdq] and Shehri [shv].	8a (Moribund).	NA	Near Yemen border.	100	NA	NA
hoi	NA	Eyak-Athabaskan, Athabaskan, Northern Athabaskan	Athapaskan-Eyak-Tlingit, Athapaskan-Eyak, Athapaskan, Northern Athapaskan	United States	NA	8b (Nearly extinct).	Shifting to English [eng]. Older adults only.	Alaska, lower Yukon river, Grayling village.	6	NA	NA
hoj	Hadauti, Hadothi, Hadoti, Harauti	Indo-European, Indo-Iranian, Indo-Aryan, Central zone, Rajasthani, Unclassified	Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Central zone, Subcontinental Central Indo-Aryan, Gujarati-Rajasthani, Rajasthani	India	45% intelligibility with standard Marwari [rwr], 57%-67% with Merwari [wry], 58%-66% with Shekhawati [swv], 44%-67% with Godwari [gdx], 61%-71% with Mewari [mtr], 64%-73% with Dhundari [dhd], 52%-70% with Mewati [wtm], 55%-62% with Bagri [bgq], 83%-99% between dialects including varieties of Mina [myi], 63%-77% with Hindi [hin].	5 (Developing).	Vigorous. Home, village; market, religion. Positive attitudes. Also use Hindi [hin] with very good proficiency, the educated being more proficient.	Rajasthan, Kota, Jhalawar, Bundi, and Baran districts.	2460000	SOV	Devanagari script.
hol	Holo, Kiholo, Kiholu	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, K, Holu (L.12)	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Mbala-Holu-Sondi (K.10), Holu (K.10)	Democratic Republic of the Congo, Angola	Holu, Yeci. Similar to Samba [smx]. Yeci may be a separate language. Related to Kimbundu [kmb].	6a (Vigorous).	NA	Kwango river area. Also in Democratic Republic of the Congo.	23100	NA	Latin script.
hom	NA	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, D, Bira-Huku (D.304)	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Ababuan, Old Bomokandian, Ngbele-Ngenda, Ngendan	Sudan	NA	10 (Extinct).	NA	West Equatoria State, Mopoi and Tambura towns' areas.	0	NA	Unwritten.
hoo	Guha, Horohoro, Kalanga, Kiholoholo, Kikalanga	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, D, Lega-Kalanga (D.28)	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Nyanga-Mituku-Lega, Mituku-Lega, Lega Complex, Bembe-Buyu-Binja, Buyu-Holoholo	Democratic Republic of the Congo	NA	6a (Vigorous).	NA	Katanga Province, northwest Kalemie area.	15500	NA	Latin script.
hop	NA	Uto-Aztecan, Northern Uto-Aztecan	Uto-Aztecan, Northern Uto-Aztecan, Hopi	United States	NA	6b (Threatened).	Vigorous. Young prefer English [eng]. All ages, 5,264 over 5 years old, 989 of those were 5 to 17, 3,390 were 18 to 54, 388 were 55 to 64, 578 were 65 and older (1990).	Northeast Arizona, several villages; a few in Utah and New Mexico.	6780	NA	Latin script.
hor	Hor	Nilo-Saharan, Central Sudanic, West, Bongo-Bagirmi, Sara-Bagirmi, Sara, Sara Proper	Central_Sudanic, Sara-Bongo-Bagirmi, SBB Occidental, Nuclear SBB Occidental, Saraic, Sara Central, Sara Central Chari	Chad	NA	10 (Extinct).	Shifted to the Kle dialect of Ngam [nmc].	B\'ehor north of Sarh on the Chari river.	0	NA	NA
hos	NA	Deaf sign language	Deaf Sign Language	Viet Nam	Related to sign languages in Hanoi, Hai Phong, Laos, and earlier sign languages in Thailand.	6a (Vigorous).	NA	Ho Chi Minh City.	NA	NA	NA
hot	Hotec, Ho'tei, Mal\^e, Malei	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Huon Gulf, South, Hote-Buang, Hote	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, North New Guinea linkage, Huon Gulf, South Huon Gulf linkage, Misim-Yamap	Papua New Guinea	Hote, Misim (Musim, Ombalei). Lexical similarity90% between Hote and Misim dialects; 70% with Yamap [ymp].	5 (Developing).	NA	Morobe Province, Lae district, Francisco diver area.	2300	NA	Latin script.
hov	Punan Bungan	Austronesian, Malayo-Polynesian, North Borneo, North Sarawakan, Kayan-Kenyah, Kayanic, Muller-Schwaner 'Punan'	Austronesian, Nuclear Austronesian, Malayo-Polynesian, North Borneo Malayo-Polynesian, North Sarawakan, Kayan-Kenyah, Kayanic, Muller-Schwaner 'Punan'	Indonesia (Papua)	Hovongan, Penyavung, Semukung Uheng. Lexical similarity69% with Kereho [xke], 67% with Aoheng [pni].	6a (Vigorous).	NA	West Kalimantan Province, Kapuas Hulu regency. Far northeast corner; near Sarawak, East Kalimantan province borders.	1000	NA	NA
how	Baihong, Hao-Bai, Haoni, Ho, Ouni, Uni, Woni	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Southern	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Hani-Jino, Bisoid-Hanic, Hanic, Hao-Bai, Haoni-Baihong	China	Baihong, Haoni. Dialects may be separate languages.	6a (Vigorous).	NA	South Yunnan Province, east Simao prefecture, Mojiang Hani, Pu'er Hani, Yi, and Dai autonomous counties; Yuxi municipal prefecture, Yuanjiang Hani, Yi, and Dai autonomous counties.	140000	NA	NA
hoy	Gohllaru, Golari-Kannada, Holar, Holari, Hole, Holian, Holu	Dravidian, Southern, Tamil-Kannada, Kannada	Dravidian, South Dravidian, South Dravidian I, Tamil-Kannada, Badaga-Kannada, Kannadoid	India	NA	6a (Vigorous).	NA	Madhya Pradesh, Seoni, Balaghat districts; Maharashtra; Karnataka.	500	NA	NA
hoz	Begi-Mao	Afro-Asiatic, Omotic, North, Mao, West	Blue_Nile_Mao, West Mao, Hozo-Seze	Ethiopia	Related to Bambassi [myf] (Bender 1975).	6a (Vigorous).	West Central Oromo [gaz] is lingua franca of the area, but some have negative attitudes toward it. Low bilingual proficiency in Amharic [amh] and Arabic [arb].	West Oromiya Region, Begi area. 50 or more villages.	3000	NA	Unwritten.
hpo	"Hp\""on, Megyaw, Phon, Ph\""on, Phun, Samong"	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Burmish, Northern	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Burmish, Northern Burmish, Low Northern Burmish	Myanmar	North Hpon, South Hpon.	8b (Nearly extinct).	Very limited domains. Older adults only.	Kachin State, Upper Ayeyarwady gorges, north of Bhamo.	200	NA	Unwritten.
hps	Pidgin Sign Language	Deaf sign language	Deaf Sign Language	United States	NA	8b (Nearly extinct).	9,600 deaf in Hawaii now use American Sign Language [ase] with a few local signs for place names and cultural items (1998 Honolulu Advertiser). Older adults.	Hawaiian Islands.	6000	NA	NA
hra	Hrangkol, Rangkhol	Sino-Tibetan, Tibeto-Burman, Sal, Kuki-Chin-Naga, Kuki-Chin, Northern	Sino-Tibetan, Kuki-Chin-Naga, Kuki-Chin, Central Kuki-Chin, Mizoic, Hmaric	India, Myanmar	Hadem. Most similar to Biete [biu].	5 (Developing).	Use declining in Mizoram, Manipur and even Assam; shifting to Assamese [asm] or Bengali [ben] (2007). Home, village. Some speak Mizo [lus], Hindi [hin], English [eng], or Assamese [asm].	Assam; Tripura; a few in Manipur and Mizoram.	18700	SOV	Latin script, used in India.
hrc	Tanga, Tangga	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Patpatar-Tolai	NA	Papua New Guinea	NA	6a (Vigorous).	NA	New Ireland Province, Tangga islands.	6300	NA	NA
hre	Cham-Re, Chom, Davach, Davak, Moi, Moi Da Vach, Moi Luy, Tachom	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, North Bahnaric, West, Sedang-Todrah, Sedang	Austroasiatic, Bahnaric, North Bahnaric, Hre-Sedang-Todrah-Monam, Hre-Sedang	Viet Nam	Creq (Kare, Kre), Hre, Rabah (Tava). Most similar to Sedang [sed].	5 (Developing).	NA	Quang Ngai and Binh Dinh provinces.	94000	NA	Latin script.
hrk	NA	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Maluku, East, Seram, Nunusaku, Piru Bay	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Malayo-Polynesian, Central Maluku, East Central Maluku, Nunusaku, Piru Bay, East Piru Bay, Solehua, Seram Straits, Uliase, Hatuhaha	Indonesia (Papua)	Hulaliu, Kabauw, Kailolo, Pelauw, Rohomoni. Each village uses a separate dialect. Lexical similarity81%-92% among dialects, 74%-76% with Tulehu [tlu], 67%-71% with Saparua [spr].	8a (Moribund).	Also use Ambonese Malay [abs].	Maluku Province. Haruku island, including Lease islands; between Ambon and Seram islands.	18200	NA	NA
hrm	A-Hmo, Bai Miao, Changjiao Miao, Forest Miao, Hmong Khua Shua Ndrang, Hmong Ndong, Hmong Ndou, Hmong Sou, Jiao Miao, Jiaojiao Miao, Kha-Nzi, Longhorn Miao, Qing Miao, White Miao	Hmong-Mien, Hmongic, Chuanqiandian	Hmong-Mien, Hmongic, Nuclear Hmongic-Ho Ne, Nuclear Hmongic, West Hmongic, A-Hmao	China	May have inherent intelligibility of Small Flowery Miao [sfm] (Johnson 1998); not inherently intelligible with other Miao varieties.	6a (Vigorous).	Vigorous. Home, community, market. Also use Mandarin Chinese [cmn].	Northeast Yunnan Province, Zhenxiong county; northwest and central Guizhou Province, Dafang, Nayong, and Zhijin counties, Anshun, Guiyang, Bijie, and Qingzhen municipalities.	50000	NA	NA
hro	Aroi, Bahnar Cham, Hoi, Hroi, Hroy, Hrway	Austronesian, Malayo-Polynesian, Malayo-Chamic, Chamic, Coastal	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Malayo-Sumbawan, North and East Malayo-Sumbawan, Aceh-Chamic, Chamic, Coastal Chamic	Viet Nam	NA	6a (Vigorous).	NA	Binh Dinh and Phu Yen provinces.	35000	NA	Latin script.
hrp	NA	Australian, Pama-Nyungan, Karnic	NA	Australia	NA	10 (Extinct).	NA	Victoria.	0	NA	NA
hrr	NA	NA	Spurious, !Retired, !Austronesian, !Nuclear Austronesian, !Malayo-Polynesian, !Central-Eastern Malayo-Polynesian, !Central Malayo-Polynesian, !Central Maluku, !East Central Maluku, !Nunusaku, !Three Rivers, !Atamanu	Indonesia (Papua)	NA	NA	NA	NA	NA	NA	NA
hrt	NA	Afro-Asiatic, Semitic, Central, Aramaic, Eastern, Central, Northeastern	Afro-Asiatic, Semitic, West Semitic, Central Semitic, Northwest Semitic, Aramaic, Eastern Aramaic, Central Eastern Aramaic	Turkey (Asia)	H\'ertevin Proper (Arton), Jinet, Umraya. Considerable differences from other Northeastern Aramaic varieties, and not intelligible with any or most of them.	6a (Vigorous).	Also use Northern Kurdish [kmr].	Originally Siirt Province. Most emigrated to the West.	1000	NA	Syriac script.
hru	Aka, Angka, Angkae, Gusso, Hrusso, Tenae	Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Hrusish	Hruso-Aka	India	Hruso, Levai (Bangru). No apparent wider affiliation within Tibeto-Burman. Varieties sometimes grouped under Tibeto-Burman as Hruish. Levai is similar to Miji [sjl] and may be a distinct language. Lexical similarity9% between Koro [jkr] and the Hruso dialect [hru]. Both are highly dissimilar to neighboring languages.	6b (Threatened).	Steady shift away from Hruso, especially among youth educated outside the area. Many also speak Miji [sjl], Assamese [asm], Hindi [hin], or English [eng].	Arunachal Pradesh, West Kameng district, Thrizino circle, Jamiri, Husigaon, Gohainthan, Buragaon, Karangonia, Raindogonia, Yayom, Gijiri, Dijungonia, Tulu, Polatari, Raghupam, Tania, Khuppi, Bhalukpong, Balipho, and Palizi villages; East Kameng district, Seppa circle, Pisang village.	3000	NA	Latin script.
hrv	Hrvatski	Indo-European, Slavic, South, Western	Indo-European, Balto-Slavic, Slavic, South Slavic, Western South Slavic, Molise-SKB, Serbian-Croatian-Bosnian	Canada, Slovakia, Italy, Czech Republic, Serbia, Montenegro, United States, Slovenia, Austria, Germany, Bosnia and Herzegovina, Chile, Hungary, Croatia	Chakavski, Kaykavski, Shtokavski (Ijekavski). Shtokavski is official dialect, but others recognized as valid, with much literature. Chakavski in western and northern Croatia, Dalmatian coast, and Adriatic Islands; Kaykavski in northeastern Croatia and Zagreb; dialects in other countries, like Burgenland Croatian in Austria, less intelligible.	1 (National). Statutory national language (1990, Constitution, Article 12.1).	Also use English [eng] or German [deu].	Also in Austria, Bosnia and Herzegovina, Canada, Chile, Czech Republic, Denmark, Germany, Hungary, Italy, Montenegro, Serbia, Slovakia, Slovenia, United States.	3980000	SVO	Braille script. Latin script, primary usage.
hrw	Anir, Feni, Tangga	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Patpatar-Tolai	NA	Papua New Guinea	NA	5 (Developing).	NA	New Ireland Province, Feni islands.	2100	NA	Latin script.
hrx	Hunsriker, Rio Grand Hunsriker	Indo-European, Germanic	Indo-European, Germanic, Northwest Germanic, West Germanic, Franconian, Low Saxon, Westphalic	Brazil, Paraguay, Argentina, Chile, Uruguay	"Originally derived from Hunsr\""ucker (Westpf\""alzisch) German speech variety; influenced by Portuguese [por]. Several dialects, probably due to being language of intercommunication for many other Germanic language speakers such as Swabian [swg], Bavarian [bar] and others as well as immigrants from Switzerland and Austria."	7 (Shifting).	Officially minimized until the 2000's when it began to be recognized as a language and written with a standardized Latin alphabet. Home, market. Positive attitudes. Most also use Portuguese [por] or Spanish [spa].	Widespread with high concentrations in Rio Grande do Sul, Santa Catarina, and Paran\'a. Also in Argentina, Chile, Paraguay, Uruguay (Hunsriker).	3000000	NA	Latin script.
hrz	NA	Indo-European, Indo-Iranian, Iranian, Western, Northwestern, Talysh	Indo-European, Indo-Iranian, Iranian, Western Iranian, Northwestern Iranian, Tatic, Northern Tatic	Iran	Similar to Karingani [kgn] and Talysh [tly].	7 (Shifting).	NA	East Azerbaijan Province, between Marand and Jolfa, northwest of Tabriz; related varieties in Galin Qaya, Babra, and Dizmar.	28100	NA	NA
hsb	Haut Sorabe, Hornjoserbski, Hornoserbski, Obersorbisch, Upper Lusatian, Wendish	Indo-European, Slavic, West, Sorbian	Indo-European, Balto-Slavic, Slavic, West Slavic, Sorbian	United States, Germany	Bautzen, Kamenz.	4 (Educational).	Upper Sorbian and Lower Sorbian are 2 standard languages. Authorized in local government and schools. Increasing literature production. Now accepted as a minority language. 40,000-45,000 others have some knowledge of it. Mostly older adults. Most monolinguals are very young (Stephens 1976). Most also use Standard German [deu].	East, Upper Saxony State, Bautzen (Budysin), and Kamenz. Also in United States.	13300	NA	Latin script.
hsf	NA	NA	Spurious, !Retired	Mexico	NA	NA	NA	NA	NA	NA	NA
hsh	Magyar Jelnyelv, Magyarorsz\'agi jelnyelv	Deaf sign language	Deaf Sign Language	Hungary	Budapest, Debrecen, Eger, Kaposv\'ar, Sopron, Szeged, V\'ac. Related to Austrian Sign Language [asq]. Dialects have some different signs for lexical items, but similar or the same grammar.	6a (Vigorous).	300,000 hard-of-hearing people use it as L1 or L2. Budapest dialect is viewed as the standard. All ages.	Widespread.	30000	NA	NA
hsl	NA	Deaf sign language	Deaf Sign Language	Nigeria	NA	6a (Vigorous).	NA	NA	NA	NA	HamNoSys Notation.
hsn	Hsiang, Hunan, Hunanese, Xiang	Sino-Tibetan, Chinese	Sino-Tibetan, Sinitic, Central Chinese	United States, China	Changsha, Changyi, Jishou, Jishu, Jixu, Loudi, Luoshao, Shaoyang, Xupu, Yiyang. Linguistically between Mandarin [cmn] and Wu [wuu] Chinese and marginally intelligible with them. Becoming more similar to (southwestern) Mandarin [cmn] and is losing non-northern features. 3 main dialect groupsChangyi (includes Changsha and Yiyang), Luoshao (includes Loudi and Shaoyang), and Jixu (Jishu) (includes Xupu and Jishou).	6a (Vigorous).	NA	Hunan Province, Sichuan Province, over 20 counties; parts of Guangxi Zhuang Autonomous Region and Guangdong Province. Also in United States.	36000000	NA	Han script, Simplified variant. Han script, Traditional variant.
hss	Harsi 'Aforit, Hersyet	Afro-Asiatic, Semitic, South, South Arabian	Afro-Asiatic, Semitic, West Semitic, Modern South Arabian, Mehric	Oman	Similar to Mehri [gdq], but usually considered a separate language.	7 (Shifting).	Also use Mehri [gdq], Arabic.	South central Oman, Dhofar Governorate, Jiddat al-Harasis.	600	NA	NA
hti	NA	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Maluku, East, Seram, East Seram	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Malayo-Polynesian, Central Maluku, East Central Maluku, East Seram, Setic	Indonesia (Papua)	NA	10 (Extinct).	NA	Maluku Province. East Seram island.	10	NA	NA
hto	Meneca, Minica	Witotoan, Proto-Huitoto-Ocaina, Early Huitoto, Proto-Minica-Murai	Huitotoan, Nuclear Witotoan, Minica-Murui	Colombia	NA	5 (Developing).	NA	Upper Igara-Parana. Caquet\'a river at Isla de los Monos, Caguan river near Sanvicente del Caguan.	6800	NA	Latin script.
hts	Hadzabi, Hadzapi, Hatsa, Kangeju, Kindiga, 'Tindiga' , Wakindiga	Khoisan, Hatsa	Hadza	Tanzania	Bali [bcp] may be a dialect.	6b (Threatened).	Vigorous.	Singida Region, southeast of Lake Eyasi, south and northwest; Manyara Region, Iramba and Mbulu districts; Shinyanga Region, Masawa district.	800	NA	Unwritten.
htu	NA	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Maluku, East, Seram, Nunusaku, Piru Bay, East, Seram Straits, Ambon	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Malayo-Polynesian, Central Maluku, East Central Maluku, Nunusaku, Piru Bay, East Piru Bay, Solehua, Seram Straits, Ambonic, Northeast Ambon	Indonesia (Papua)	Hila, Hitu, Mamala, Morela, Wakal. Lexical similarity67%-82% with Seit-Kaitetu [hik], 74%-82% with Tulehu [tlu].	6b (Threatened).	Moderate to vigorous.	Maluku Province, Wakal, Hitu, Mamala, Morela, and Hila villages. Northeast Ambon island, Piru Sea coast, Hitu peninsula.	16000	NA	NA
hub	Huambiza, Wambisa	Jivaroan, J\'ivaro	Jivaroan, Shuaric	Peru	Similar to Aguaruna [agr] and Achuar-Shiwiar [acu].	5 (Developing).	Most children acquire the language (2007). All domains. All ages. Positive attitudes.	North, high jungle of the Andes along Morona and Santiago rivers.	9330	SOV	Latin script.
huc	|H\^u, |Hua, \textdoublebarpipe{}Hoa, \textdoublebarpipe{}Ho\~a, \textdoublebarpipe{}Hoan, \textdoublebarpipe{}Hua-Owani	Khoisan, Southern Africa, Southern, Hua	Tuu, Hua, Taa	Botswana	\textdoublebarpipe{}Hua, Sasi. Related to !X\'o\~o [nmn].	7 (Shifting).	Older adults.	Southern Kalahari desert, Kweneng District; Central District, southwest Mahalapye subdistrict, Sasi.	200	SOV; genitives before noun head; adjectives, numerals, demonstratives, relatives after noun head; tonal	NA
hud	Alakamat, Bahasa Asli	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Maluku, East, Seram, Manusela-Seti	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Malayo-Polynesian, Central Maluku, East Central Maluku, Nunusaku, Patakai-Manusela, Manusela-Huaulu	Indonesia (Papua)	Lexical similarity64%-72% with Manusela [wha] dialects.	6b (Threatened).	NA	Maluku Province, 10 villages. North Seram island, Salemen bay, south end.	300	NA	NA
hue	Huave del este	Huavean	Huavean	Mexico	38% intelligibility of San Mateo del Mar Huave [huv]. Most divergent variety of Huave. Only fishermen tested, who were familiar with other varieties.	7 (Shifting).	Youth also use Spanish [spa]. 2,000 to 3,000 in new San Francisco shifted from Huave to Spanish.	Southeast coast, Oaxaca, Juchit\'an district, old and new San Francisco del Mar.	620	Nontonal	Latin script.
huf	NA	Trans-New Guinea, Southeast Papuan, Kwalean	Kwalean, Humene-Kwale	Papua New Guinea	Humene, Lagume (Lakume, Manukolu). Lexical similarity65%-74% with Kwale [ksj] (most similar).	6a (Vigorous).	Some also use Hiri Motu [hmo] and Motu [meu] or English [eng].	Central Province, lower Sogeri plateau; adjacent plain between Gaire and Kapakapa villages. Manugoro is principal village.	940	NA	NA
hug	Huachipaire, 'Mashco' , Wacipaire	Har\'akmbut	Harakmbut	Peru	Arasairi, Huachipaire, Sapiteri, Toyeri (Toyoeri, Tuyuneri). Similar to Amarakaeri [amr]. Sapiteri integrating with Amarakaeri. Toyeri is similar to Sapiteri. Some Kisambaeri (Amarakaeri dialect) integrated with the Toyeri and others with Sapiteri. Manuquiari may be a subgroup of Toyeri or Huachipaeri. Pukirieri may be a subgroup of Toyeri or Arasairi. Arasairi is distinct from Amarakaeri or Huachipaeri; similar to Sapiteri.	6b (Threatened). Language of recognized nationality (1993, Constitution, Article 48).	Still spoken by the children in some communities (2012). Also use some Spanish [spa].	Upper Madre de Dios and Keros rivers.	310	SOV	NA
huh	Huiliche, Veliche	Mapudungu	Araucanian	Chile	Tsesung\'un. Related to Mapudungun [arn], but barely intelligible with it.	8a (Moribund).	Most of the ethnic group speaks Spanish [spa] as L1. Some youth using the language in rap music. Few domains. Older adults.	South of Mapuche, Tenth region, Valdivia to Chilo\'e.	2000	NA	NA
hui	Huli-Hulidana, Huri	Trans-New Guinea, Engan, Huli	Nuclear_Trans_New_Guinea, Enga-Kewa-Huli, South Enga-Kewa-Huli	Papua New Guinea	NA	5 (Developing).	Most domains. All ages. Positive attitudes.	Southern Highlands Province, Tari area; Enga Province, south fringe.	150000	NA	Latin script.
huj	Northern Guiyang Hmong	Hmong-Mien, Hmongic, Chuanqiandian	Hmong-Mien, Hmongic, Nuclear Hmongic-Ho Ne, Nuclear Hmongic, West Hmongic, Chuanqiandian, Guiyang	China	Inherently unintelligible of other Miao varieties.	6a (Vigorous).	Home, community, market.	Central Guizhou Province, Jinsha, Qianxi, Xifeng, Kaiyang, Xiuwen, and Pingba Guiding counties, west Guiyang municipality suburbs.	84000	NA	NA
huk	NA	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Maluku, East, Seram, Nunusaku, Three Rivers, Amalumute, Northwest Seram, Hulung	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Malayo-Polynesian, Central Maluku, East Central Maluku, Nunusaku, Three Rivers, Amalumute, Northwest Seram	Indonesia (Papua)	Lexical similarity67% with Lisabata-Nuniali [lcs], 66% with Naka'ela [nae], 63% with Alune [alp], 59% with Wemale [weo].	10 (Extinct).	NA	Central Maluku, west Seram, Hulung village, Sauweli hamlet.	10	NA	NA
hul	Vula'a	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Peripheral, Central Papuan, Sinagoro-Keapara	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Peripheral Papuan Tip linkage, Central Papuan Oceanic, Sinagoro-Keapara, Hula-Keapara	Papua New Guinea	NA	5 (Developing).	NA	Central Province, Hood peninsula.	3240	NA	Latin script.
hum	Huana, Hungaan, Hunganna, Kihungana	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, H, Hungana (H.42)	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Kongo-Yaka-Suku-Hungan, Nuclear Kongo-Yaka-Suku-Hungan	Democratic Republic of the Congo	NA	6b (Threatened).	NA	Bandundu Province, Bulungu territory.	400	SVO	Latin script.
hun	Magyar	Uralic	Uralic, Hungarian	Canada, Ukraine, Israel, Australia, Czech Republic, Serbia, Romania, Russian Federation (Asia), Slovenia, Austria, Croatia, Hungary, United States, Slovakia	"Central Transdanubian, North-eastern Hungarian, Pal\'oc, Southern Great Plains, Southern Transdanubian, Tisza-K\""or\""os, Western Transdanubian. Most similar to the Uralic language Vogul (Mansi [mns]) in Siberia. Speakers of standard Hungarian have difficulty understanding the Oberwart dialect spoken in Austria, and considerable difficulty understanding the Moldavian Cs\'ang\'o dialect spoken in Rumania."	1 (National). De facto national language.	NA	Widespread. Also in Australia, Austria, Canada, Croatia, Czech Republic, Israel, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Sweden, Ukraine, United States.	9550000	SVO	Braille script. Latin script, primary usage.
huo	NA	Austro-Asiatic, Mon-Khmer, Northern Mon-Khmer, Palaungic, Eastern Palaungic, Angkuic	Austroasiatic, Khasi-Palaung, Palaungic, West Palaungic, Angkuic	China	Possibly a dialect of U [uuu], 76% similar lexically with U of Shuangjiang County.	6b (Threatened).	NA	Southwest Yunnan Province, Xishuangbanna Dai autonomous prefecture, Mengla and Jinghong counties, 5 villages, including Nahuopa village in Jinghong, Mengyang township.	1000	Affixes; tonal	NA
hup	Hoopa	Eyak-Athabaskan, Athabaskan, Pacific Coast Athabaskan, California Athabaskan	Athapaskan-Eyak-Tlingit, Athapaskan-Eyak, Athapaskan, Pacific Coast Athapaskan, California Athapaskan	United States	Whilkut.	8b (Nearly extinct).	Shifted to English [eng]. Language revitalization effort in progress. Adult classes, language immersion camps. Taught K-12. Older adults only.	Northwest California, Hoopa Valley Reservation.	8	NA	Latin script.
huq	Hainan Cham, Hui, Huihui, Sanya Hui, Utsat, Utset	Austronesian, Malayo-Polynesian, Malayo-Chamic, Chamic, Highlands, Chru-Northern, Northern Cham	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Malayo-Sumbawan, North and East Malayo-Sumbawan, Aceh-Chamic, Chamic, Highlands Chamic, Chru-Northern Cham, Northern Cham	China	Most similar to Northern Roglai [rog], but very different. Tsat is structurally changed to be like Chinese.	6b (Threatened).	Vigorous. All domains. All ages. Positive attitudes. Also use the Fukienese dialect of Min Nan Chinese [nan] or Yue Chinese [yue] for commerce, or Mandarin Chinese [cmn] for school.	South Hainan Prefecture; Yaxian (Sanya) County, Yanglan District, Huixin and Huihui villages.	4000	Tonal	NA
