language	glottocode	iso
Maltese Sign Language	malt1238	mdl
Maltese	malt1254	mlt
Malua Bay	malu1245	mll
Malvi	malv1243	mup
Maleku Jaika	male1297	gut
Mam	mamm1241	mam
Mam, Central	mamc1234	mvc
Mam, Southern	mams1234	mms
Mam, Tajumulco	mamt1234	mpf
Mam, Todos Santos Cuchumatan	mamt1235	mvj
Mama	mama1272	mma
Mamaa	mama1277	mhf
Mamainde	mama1278	wmd
Mamanwa	mama1275	mmn
Mamara Senoufo	mama1271	myk
Mamasa	mama1276	mqj
Mambae	mamb1306	mgm
Mambai	mamb1294	mcs
Mamboru	mamb1305	mvd
Mambwe-Lungu	mamb1296	mgr
Mampruli	mamp1244	maw
Mamuju	mamu1255	mqx
Mamusi	mamu1254	kdf
Mamvu	mamv1243	mdi
Man Met	manm1238	mml
Manado Malay	mala1481	xmm
Manam	mana1295	mva
Manambu	mana1298	mle
Manange	mana1288	nmm
Manangkari	mana1248	znk
Manao	mana1299	NA
Manat	payn1244	pmr
Manchu	manc1252	mnc
Mand	atem1241	ate
Manda (Australia)	mand1416	zma
Manda (India)	mand1413	mha
Manda-Matumba	mand1423	mgs
Mandahuaca	mand1448	mht
Mandaic	nucl1706	mid
Mandan	mand1446	mhq
Mandandanyi	mand1417	zmk
Mandar	mand1442	mdr
Mandara	mand1440	tbf
Mandari	mand1425	mqu
Mandarin Chinese	mand1415	cmn
Mandaya	kara1489	mry
Mandeali	mand1409	mjl
Mander	mand1443	mqr
Mandinka	mand1436	mnk
Mandjak	mand1419	mfv
Mandobo Atas	mand1444	aax
Mandobo Bawah	mand1445	bwp
Manem	mane1266	jet
Mang	mang1378	zng
Manga Kanuri	mang1399	kby
Mangala	mang1383	mem
Mangar	mang1417	NA
Mangarayi	mang1381	mpc
Mangareva	mang1401	mrv
Mangas	mang1416	zns
Mangayat	mang1387	myj
Mangbetu	mang1394	mdj
Mangbutu	mang1396	mdk
Mangerr	mang1382	zme
Mangga Buang	mang1404	mmo
Manggarai	mang1405	mqy
Mangio	mang1364	NA
Mango (China)	mang1429	NA
Mango	mang1398	mge
Mangole	mang1408	mqc
Mangree	mang1422	NA
Mangseng	mang1403	mbh
Mangue	moni1237	mom
Manigri-Kambole Ede Nago	mani1294	xkb
Manipa	mani1297	mqp
Manipuri	mani1292	mni
Mankanya	mank1251	knf
Mann	mann1248	mev
Manna-Dora	mann1245	mju
Mannan	mann1246	mjv
Manombai	mano1275	woo
Mansaka	mans1262	msk
Mansim	mans1260	NA
Mansoanka	mans1259	msw
Manta	mant1267	myg
Mantsi	mant1265	nty
Manumanaw Karen	manu1255	kxf
Manusela	manu1258	wha
Manx	manx1243	glv
Manya	many1261	mzj
Manyawa	many1259	mny
Manyika	many1258	mxc
Manza	manz1243	mzv
Mao Naga	maon1238	nbi
Maonan	maon1241	mmd
Maore Comorian	maor1244	swb
Maori	maor1246	mri
Mape	mape1249	mlh
Mapena	mape1250	mnm
Mapia	mapi1250	mpy
Mapidian-Mawayana	mapi1252	mpw
Mapos Buang	mapo1242	bzh
Mapoyo	mapo1246	mcg
Mapudungun	mapu1245	arn
Mapun	mapu1244	sjm
Maquiritari	maqu1238	mch
Mar Paharia of Dumka	malp1246	mkb
Mara Chin	mara1382	mrh
Mara	mara1385	mec
Marachi	mara1393	lri
Maraghei	mara1373	vmh
Maragua	mara1409	NA
Maragus	mara1399	mrs
Marajo Sign Language	mara1418	NA
Maram Naga	mara1379	nma
Marama	mara1392	lrm
Maramba	mara1407	myd
Maranao	mara1404	mrw
Maranunggu	mara1386	zmr
Mararit	mara1396	mgb
Marathi	mara1378	mar
Maratino	mara1266	NA
Marau Wawa	mara1417	NA
Marau	mara1397	mvr
Marawan	mara1408	NA
Marba	marb1239	mpg
Mardin Sign Language	mard1245	NA
Maremgi	mare1261	mrx
Marenje	mare1260	vmr
Marfa	marf1238	mvu
Margany	marg1253	zmc
Marghi Central	marg1265	mrt
Marghi South	marg1266	mfm
Margos-Yarowilca-Lauricocha Quechua	marg1254	qvm
Margu	marg1251	mhg
Mari (East Sepik Province)	mari1432	mbx
Mari (Madang Province)	mari1429	hob
Maria (India)	mari1414	mrr
Maria (Papua New Guinea)	mari1438	mds
Maricopa	mari1440	mrc
Maridan	mari1422	zmd
Maridjabin	mari1421	zmj
Marik	mari1428	dad
Marimanindji	mari1417	zmm
Marind	nucl1622	mrz
Maring Naga	mari1416	nng
Maring	mari1435	mbw
Maringarr	mari1419	zmt
Mariri	mari1430	mqi
Marithiel	mari1424	mfr
Maritime Polynesian Pidgin	mari1446	NA
Maritime Sign Language	mari1381	nsr
Maritsaua	mari1442	msp
Mariyedi	mari1423	zmy
Marka	mark1256	rkm
Markweeta	mark1255	enb
Marma	marm1234	rmz
Marori	moro1289	mok
Marovo	maro1244	mvo
Marriammu	marr1256	xru
Marshallese	mars1254	mah
Martha's Vineyard Sign Language	mart1251	mre
Marti Ke	mart1254	zmg
Martu Wangka	mart1256	mpj
Martuthunira	mart1255	vma
Maru	maru1249	mhx
Marwari (India)	marw1260	rwr
Marwari (Pakistan)	marw1256	mve
Marubo	maru1252	mzr
Masaaba	masa1299	myx
Masacara	masa1311	NA
Masadiit Itneg	masa1307	tis
Masai	masa1300	mas
Masalit	nucl1440	mls
Masana	masa1322	mcn
Masbate Sorsogon	masb1237	bks
Masbatenyo	masb1238	msb
Mashco Piro	mash1270	cuj
Mashi (Nigeria)	mash1269	jms
Mashi (Zambia)	mash1267	mho
Masikoro Malagasy	masi1268	msh
Masimasi	masi1265	ism
Masiwang	masi1266	bnf
Maskelynes	mask1242	klv
Maskoy Pidgin	mask1241	mhh
Maslam	masl1241	msv
Masmaje	masm1239	mes
Massalat	mass1262	mdg
Massep	mass1263	mvs
Matagalpa	mata1288	mtn
Matal	mata1306	mfh
Matanawi	mata1275	NA
Matbat	matb1237	xmt
Matengo	mate1258	mgv
Matepi	mate1260	mqe
Mateq	kemb1249	xem
Matigsalug Manobo	mati1250	mbt
Matipuhy	mati1253	mzo
Mato Grosso Arara	mato1253	axg
Mato	mato1252	met
Mator-Taigi-Karagas	mato1250	mtm
Matses	mats1244	mcf
Mattole	matt1238	mvb
Matukar	matu1261	mjk
Matumbi	matu1259	mgw
Matya Samo	maty1235	stj
Matis	mati1255	mpq
Maung	maun1240	mph
Mauritian Sign Language	maur1240	lsy
Mauwake	mauw1238	mhl
Mawa (Chad)	mawa1270	mcw
Mawa (Nigeria)	mawa1236	wma
Mawak	mawa1266	mjj
Mawakwa	mawa1268	NA
Mawan	mawa1267	mcz
Mawayana	mawa1271	mzx
Mawchi	mawc1242	mke
Mawes	mawe1251	mgk
Maxakali	maxa1247	mbl
Maxi Gbe	maxi1236	mxl
Maya Samo	maya1281	sym
Maya, Chan Santa Cruz	maya1286	yus
Mayaguduna	maya1280	xmy
Mayangna	maya1285	yan
Maybrat-Karon	maib1239	ayz
Mayeka	maye1238	myc
Maykulan	mayk1239	mnt
Mayo (Brazil)	mayo1267	NA
Mayo	mayo1264	mfy
Mayogo	mayo1261	mdm
Mayoruna-Amazon	mayo1271	NA
Mayoruna-Jandiatuba	mayo1270	NA
Mayoruna-Tabatinga	mayo1272	NA
Mayoyao Ifugao	mayo1262	ifu
Maza	maza1306	NA
Mazagway	maza1304	dkx
Mazaltepec Zapotec	maza1294	zpy
Mazanderani	maza1291	mzn
Mazatlan Mazatec	maza1296	vmz
Mazatlan Mixe	maza1292	mzl
Mba	mbaa1245	mfc
Mbabaram	mbab1239	vmb
Mbala	mbal1257	mdp
Mbalanhu	mbal1255	lnb
Mbandja	mban1263	zmz
Mbangala	mban1264	mxg
Mbangi	mban1262	mgn
Mbangwe	mban1268	zmn
Mbara (Australia)	mbar1254	mvl
Mbara (Chad)	mbar1260	mpk
Mbariman-Gudhinma	mbar1253	zmv
Mbati	mbat1248	mdn
Mbato	mbat1247	gwa
Mbay	mbay1241	myb
Mbe	mbee1249	mfo
Mbe'	mbee1250	mtk
Mbedam	mbed1242	xmd
Mbelime	mbel1240	mql
Mbere	mber1257	mdt
Mbesa	mbes1238	zms
Mbiywom	mbiy1238	NA
Mbo (Cameroon)	mboc1235	mbo
Mbo (Democratic Republic of Congo)	mbod1238	zmw
Mboi	mboi1246	moi
Mboko	mbok1243	mdu
Mbole	mbol1247	mdq
Mbonga	mbon1252	xmb
Mbongno	mbon1253	bgu
Mbosi	mbos1242	mdw
Mbour Sign Language	mbou1245	NA
Mbowe	mbow1246	mxo
Mbre	mbre1244	mka
Mbugu	mbug1240	mhd
Mbugwe	mbug1242	mgz
Mbuk	mbuk1244	NA
Mbuko	mbuk1243	mqb
Mbukushu	mbuk1240	mhw
Mbula	mbul1263	mna
Mbula-Bwazza	mbul1260	mbu
Mbule	mbul1262	mlb
Mbulungish	mbul1258	mbv
Mbum	mbum1254	mdd
Mbunda	mbun1249	mck
Mbunga	mbun1248	mgy
Mburku	mbur1239	bbt
Mbuun	mpuo1241	zmp
Mbwela	mbwe1238	mfu
Mbya Guarani	mbya1239	gun
Me'en	meen1242	mym
Medebur	mede1237	mjm
Medefidrin	mede1238	NA
Media Lengua	medi1245	mue
Mediak	medi1249	mwx
Mediterranean Lingua Franca	ling1242	pml
Mednyj Aleut	medn1235	mud
Medumba	medu1238	byv
Mefele	mefe1242	mfj
Megam	mega1243	mef
Megleno Romanian	megl1237	ruq
Mehek Sign Language	mehe1245	NA
Mehek	mehe1243	nux
Meherrin	mehe1242	NA
Mehinaku	mehi1240	mmh
Mehri	mehr1241	gdq
Mekens	saki1248	skf
Mekeo	meke1243	mek
Mekmek	mekm1240	mvk
Mekwei	mekw1241	msf
Mele-Fila	mele1250	mxe
Melo	melo1242	mfx
Melpa	melp1238	med
Memoni	memo1238	mby
Mendalam Kayan	mend1267	xkd
Mendankwe-Nkwen	mend1261	mfd
Mende (Papua New Guinea)	mend1268	sim
Mende (Sierra Leone)	mend1266	men
Mengaka	meng1264	xmg
Mengen	meng1267	mee
Mengisa	meng1263	mct
Menien	meni1247	NA
Menka	menk1238	mea
Menominee	meno1252	mez
Mentawai	ment1249	mwv
Menterap	ment1251	NA
Menya	meny1245	mcr
Meoswar	meos1237	mvx
Mer	merr1239	mnu
Meramera	mera1242	mxm
Merei	mere1242	lmb
Merey	mere1246	meq
Meriam	meri1244	ulk
Merlav	merl1237	mrm
Meroitic	mero1237	xmr
Meru	meru1245	mer
Merwari	merw1238	wry
Mesaka	mesa1245	iyo
Mescalero-Chiricahua Apache	mesc1238	apm
Mese	mese1244	mci
Meskwaki	mesk1242	sac
Mesme	mesm1239	zim
Mesmes	mesm1243	mys
Mesqan	mesq1240	mvz
Messapic	mess1244	cms
Meta'	meta1238	mgo
Metlatonoc Mixtec	metl1238	mxv
Mewari	mewa1249	mtr
Mewati	mewa1250	wtm
Mexican Sign Language	mexi1237	mfs
Mey	sher1257	sdp
Meyah	meya1236	mej
Mezontla Popoloca	mezo1235	pbe
Mezquital Otomi	mezq1235	ote
Mfinu	mfin1238	zmf
Mi'kmaq	mikm1235	mic
Miami	miam1252	mia
Mian	mian1256	mpt
Miani	mian1254	pla
Miarra	miar1236	xmi
Michif	mich1243	crg
Michoacan Mazahua	mich1246	mmc
Michoacan Nahuatl	mich1245	ncl
Mid Grand Valley Dani	midg1235	dnt
Mid-Southern Banda	mids1243	bjo
Middle Chinese	midd1344	ltc
Middle Dutch	midd1321	dum
Middle English	midd1317	enm
Middle High German	midd1343	gmh
Middle Indo-Aryan	midd1350	NA
Middle Low German	midd1318	gml
Middle Mongol	midd1351	xng
Middle Watut	midd1327	mpl
Midob	mido1240	mei
Migaama	miga1249	mmy
Migabac	miga1241	mpp
Miisiirii	miis1236	NA
Mikasuki	mika1239	mik
Mikaya-Bambengangale-Baluma	mika1256	NA
Milang	mila1245	NA
Mili	mili1235	ymh
Millcayac	mill1237	NA
Miltu	milt1241	mlj
Miluk	milu1241	iml
Milyan	mily1238	imy
Mimi	mimi1246	miv
Mimi-Gaudefroy	mimi1240	NA
Mimi-Nachtigal	mimi1241	NA
Min Bei Chinese	minb1244	mnp
Min Dong Chinese	mind1253	cdo
Min Nan Chinese	minn1241	nan
Min Zhong Chinese	minz1235	czo
Mina (Cameroon)	mina1276	hna
Mina (India)	mina1267	myi
Minaean	mina1279	inm
Minangkabau	mina1268	min
Minanibai-Foia Foia	mina1274	mcv
Minaveha	mina1269	mvn
Minderico	mind1263	drc
Mindiri	mind1255	mpn
Mingang Doso	ming1254	mko
Mingrelian	ming1252	xmf
Minica Huitoto	mini1256	hto
Minidien	mini1253	wii
Minigir	mini1251	vmg
Minkin	mink1237	NA
Minoan	mino1236	omn
Minokok	mino1243	mqq
Minriq	minr1238	mnq
Mintil	mint1239	mzt
Minz Zhuang	minz1236	zgm
Miqie	miqi1235	yiq
Mirandese	mira1251	mwl
Mire	mire1238	mvh
Mirgan	mirg1238	zrg
Miriti	miri1270	mmv
Miriwung	miri1266	mep
Mirpur Panjabi	mirp1238	pmu
Miship	mish1244	mjs
Misima-Paneati	misi1243	mpx
Mising-Padam-Miri-Minyong	misi1242	mrg
Misool-Salawati Ma'ya	maya1282	slz
Mithaka	mith1236	NA
Mitla Zapotec	mitl1236	zaw
Mitlatongo Mixtec	mitl1235	vmm
Mittu	mitt1253	mwu
Mituku	mitu1240	zmq
Miu	miuu1237	mpo
Miwa	miwa1242	vmi
Mixifore	mixi1241	mfg
Mixtepec Mixtec	mixt1425	mix
Mixtepec Zapotec	mixt1426	zpm
Miya	miya1266	mkf
Miyako	miya1259	mvi
Miyobe	miyo1238	soy
Mizo	lush1249	lus
Mlabri	mlab1235	mra
Mlahso	mlah1239	lhs
Mlap	mlap1238	kja
Mlomp	mlom1238	mlo
Mmaala	mmaa1238	mmu
Mmen	mmen1238	bfm
Mo'da	moda1242	gbn
Moabite	moab1234	obm
Moba	moba1244	mfq
Mobilian	mobi1236	mod
Mobumrin Aizi	mobu1235	ahm
Mobwa Karen	mobw1234	jkm
Mochi	moch1256	old
Mochica	moch1259	omc
Mocho	moch1257	mhc
Mocovi	moco1246	moc
Modang	moda1244	mxd
Modern Greek	mode1248	ell
Modern Hebrew	hebr1245	heb
Modole	modo1249	mqo
Moere	moer1240	mvq
Mofu-Gudur Sign Language	mofu1251	NA
Mofu-Gudur	mofu1248	mif
Mogholi	mogh1245	mhj
Mogum	mogu1251	mou
Mohave	moha1256	mov
Mohawk	moha1258	moh
Mohegan-Montauk-Narragansett	mohe1244	mof
Moi (Congo)	moic1236	mow
Moi (Indonesia)	moii1235	mxn
Moikodi	moik1239	mkp
Moinba	moin1242	mob
Moingi	moin1241	mwz
Moji	moji1238	ymi
Mok	mokk1243	mqt
Moken	moke1242	mwt
Mokerang	moke1240	mft
Mokilese	moki1238	mkj
Moklen	mokl1243	mkm
Mokole	moko1243	mkl
Mokpa	mokp1238	NA
Mokpwe	mokp1239	bri
Moksela	moks1249	vms
Moksha	moks1248	mdf
Mol	amol1235	alx
Molale	mola1238	mbe
Molbog	molb1237	pwm
Moldova Sign Language	mold1243	vsi
Molengue	mole1238	bxc
Molet	mole1239	NA
Molima	moli1248	mox
Molmo One	molm1235	aun
Molo	molo1257	zmo
Molof	molo1262	msl
Moloko	molo1266	mlw
Mom Jango	momj1237	ver
Moma	moma1242	myl
Momare	moma1243	msz
Mombo Dogon	momb1254	dmb
Mombum	nucl1452	mso
Momina	momi1242	mmb
Momogo-Pupis-Irogo	nort2917	nks
Momu-Fas	fass1245	fqs
Momuna	momu1241	mqf
Mon	monn1252	mnw
Monastic Sign Language	mona1241	mzg
Mondropolon	mond1265	npn
Mondzi	mond1267	NA
Mongo	mong1338	lol
Mongoba-Kazibati	mong1345	NA
Mongol	mong1344	mgt
Mongolia Buriat	mong1330	bxm
Mongolian Sign Language	mong1264	msr
Mongondow	mong1342	mog
Moni	moni1261	mnz
Mono (Cameroon)	mono1269	mru
Mono (Democratic Republic of Congo)	mono1270	mnh
Mono (USA)	mono1275	mnr
Mono-Alu	mono1273	mte
Monom	mono1268	moo
Monqui	monq1236	NA
Monsang Naga	mons1234	nmh
Montagnais	mont1268	moe
Montol	mont1280	mtl
Monumbo	nucl1458	mxk
Monzombo	monz1249	moj
Moo	mooo1239	gwg
Moose Cree	moos1236	crm
Mopan Maya	mopa1243	mop
Mor (Bomberai Peninsula)	morb1239	moq
Mor (Mor Islands)	morm1235	mhz
Moraid	mora1239	msg
Morawa	mora1273	mze
Morelos Nahuatl	more1259	nhm
Morerebi	more1262	xmo
Mores	rori1237	rga
Moresada	more1258	msx
Mori Atas	mori1269	mzq
Mori Bawah	mori1268	xmz
Morigi	mori1271	mdb
Morike	mori1273	NA
Morisyen	mori1278	mfe
Moro	moro1285	mor
Moroccan Arabic	moro1292	ary
Moroccan Sign Language	moro1242	xms
Morokodo	moro1284	mgc
Morom	moro1281	bdo
Moronene	moro1287	mqn
Morop-Dintere	iwur1240	iwo
Morouas	moro1286	mrp
Mortlockese	mort1237	mrl
Moru	moru1253	mgd
Moseten-Chimane	mose1249	cas
Mosimo	mosi1248	mqv
Moskona	mosk1236	mtj
Mossi	moss1236	mos
Mota	mota1237	mtt
Motembo-Kunda-Buja	temb1272	tmv
Motu	motu1246	meu
Mouk-Aria	mouk1239	mwh
Mountain Koiali	moun1252	kpx
Mouwase	mouw1234	jmw
Movima	movi1243	mzp
Movono	tang1347	tgp
Moyadan Itneg	moya1235	ity
Moyon	moyo1238	nmo
Mozambican Sign Language	moza1235	mzy
Mozambique Lomwe	lomw1241	ngl
Mozarabic	moza1249	mxi
Mpade	mpad1242	mpi
Mpalityan-Lutigh	mpal1237	NA
Mpama	mpam1239	NA
Mpi	mpii1239	mpz
Mpiemo	mpie1238	mcx
Mpongmpong	mpon1254	mgg
Mpoto	mpot1240	mpa
Mpotovoro	mpot1241	mvt
Mpra	mpra1235	NA
Mpur	mpur1239	akc
Mro Chin	mroc1235	cmr
Mru	mruu1242	mro
Mser	mser1242	kqx
Mt. Iraya Agta	mtir1236	atl
Mt. Iriga Agta	mtir1235	agz
Muak	tail1246	tlq
Mualang	mual1241	mtd
Muangphe	muan1234	NA
Mubami	muba1238	tsx
Mubi	mubi1246	mub
Muda	muda1235	ymd
Mudbura	mudb1240	mwd
Mudhili Gadaba	mudh1235	gau
Mudu Koraga	mudu1241	vmd
Muduapa	mudu1242	wiv
Muduga	mudu1239	udg
Muellamues	muel1234	NA
Mufian	mufi1238	aoj
Mugom	mugo1238	muk
Muinane	muin1242	bmr
Muji Yi	muji1236	ymj
Mukha-Dora	mukh1238	mmk
Muklom	mukl1234	NA
Muko-Muko	muko1237	vmo
Mukulu	muku1242	moz
Mulaha	mula1254	mfw
Mulam	mula1253	mlm
Mullu Kurumba	mull1244	kpb
Mullukmulluk	mull1237	mpb
Muluridyi	mulu1243	vmu
Mum	mumm1238	kqa
Mumuye	nucl1240	mzm
Muna	muna1247	mnb
Munda	mund1321	unx
Mundabli	mund1328	boe
Mundang	mund1325	mua
Mundani	mund1327	mnf
Mundari (Retired)	mund1339	muw
Mundari	mund1320	unr
Mundat	mund1334	mmf
Munduruku	mund1330	myu
Mungaka	mung1266	mhk
Mungbam	abar1238	mij
Munggui	mung1269	mth
Mungkip	mung1272	mpv
Muniche	muni1258	myr
Munit	muni1257	mtc
Munji	munj1244	mnj
Munsee	muns1251	umu
Muong	muon1246	mtq
Mur Pano	murp1234	tkv
Muratayak	mura1271	asx
Mure	mure1235	NA
Murik (Malaysia)	muri1259	mxr
Murik (Papua New Guinea)	muri1260	mtf
Murkim	murk1238	rmh
Murle	murl1244	mur
Murrinh-Patha	murr1258	mwf
Mursi	murs1242	muz
Murui Huitoto	muru1274	huu
Murupi	muru1273	mqw
Muruwari	muru1266	zmu
Musar	musa1265	mmi
Musasa	musa1263	smm
Musey	muse1242	mse
Musgu	musg1254	mug
Mushungulu	mush1238	xma
Musi	musi1241	mui
Muskum	musk1256	mje
Muslim Tat	musl1236	ttt
Musom	muso1238	msu
Mussau-Emira	muss1246	emi
Muthuvan	muth1236	muv
Mutu	mutu1242	tuc
Muya	muya1239	mvm
Muyang	muya1243	muy
Muyuw	muyu1244	myw
Muzi	muzi1235	ymz
Muzo	muzo1235	NA
Mvano	mvan1238	mcj
Mvuba	mvub1239	mxh
Mwaghavul	mwag1236	sur
Mwali Comorian	mwal1237	wlc
Mwan	mwan1250	moa
Mwani	mwan1247	wmw
Mwatebu	mwat1237	mwa
Mwera (Chimwera)	mwer1248	mwe
Mwera (Nyasa)	mwer1247	mjh
Mwesa	mwes1234	NA
Mwimbi-Muthambi	mwim1241	mws
Mwotlap	motl1237	mlv
Mycenaean Greek	myce1241	gmy
Myene	myen1241	mye
Mzieme Naga	mzie1235	nme
Maghdi	magh1238	gmd
Maku	maku1246	xak
Miskito	misk1235	miq
Mocheno	moch1255	mhn
Mun Chin	munc1235	mwq
Mundu	mund1326	muh
N'Ko	nkoa1234	nqo
N/u	nuuu1241	ngh
NE Tasmanian Dialect Chain	neta1235	NA
Na	naaa1245	nbt
Na'ahai	malf1237	mlx
Naaba	naab1241	nao
Naasioi	naas1242	nas
Naba	naba1253	mne
Nabak	naba1256	naf
Nabi	kuri1260	nbn
Nabi-Metan	nabi1239	mty
Nabit	nabi1240	NA
Nachering	nach1240	ncd
Nadab	nade1244	mbj
Nafaanra	nafa1258	nfr
Nafi	nafi1237	srf
Nafri	nafr1241	nxx
Nafusi	nafu1238	jbn
Naga Pidgin	naga1394	nag
Nagarchal	naga1399	nbg
Nage	nage1237	nxe
Nagumi	nagu1244	ngv
Nahali-Baglani	naha1261	nlx
Nahari	naha1262	nhh
Nahavaq	sout2857	sns
Nahuatl, Southeastern Puebla	sout2973	npl
Nai	naii1241	bio
Najanga-Kindige	bond1248	dbu
Najdi Arabic	najd1235	ars
Naka'ela	naka1263	nae
Nakai	naka1265	nkj
Nakama	naka1264	nib
Nakanai	naka1262	nak
Nakara	naka1260	nck
Nake	nake1240	nbk
Naki	naki1238	mff
Nakwi	nakw1240	nax
Nalca	nalc1240	nlc
Nali	nali1245	nss
Nalik	nali1244	nal
Nalu	nalu1240	naj
Naluo Yi	nalu1239	ylo
Nalogo	nalo1235	nlz
Nam	namm1235	NA
Nama (Namibia)	nama1264	naq
Nama (Papua New Guinea)	nama1266	nmx
Namakura	nama1268	nmk
Naman	litz1237	lzl
Namat	nama1267	nkm
Nambo	namb1293	ncm
Nambya	namb1291	nmq
Namia	nami1256	nnm
Namiae	nami1258	nvm
Namibian Sign Language	nami1249	nbs
Namla	naml1240	naa
Namo	namo1246	mxw
Namonuito	namo1247	nmt
Namosi-Naitasiri-Serua	namo1248	bwb
Namuyi	namu1246	nmy
Nanabin Sign Language	nana1261	NA
Nanai	nana1257	gld
Nancere	nanc1253	nnc
Nande	nand1264	nnb
Nandi	nand1266	niq
Nanerige Senoufo	nane1238	sen
Nanga	nang1261	nzz
Nanggu	nang1262	ngr
Nangikurrunggurr	nang1259	nam
Nangnda	bedj1245	bjv
Nankina	nank1250	nnk
Nanti	nant1250	cox
Nanticoke	nant1249	nnt
Nanubae	nanu1240	afk
Naolan	naol1234	NA
Napeca	nape1237	NA
Napo Lowland Quechua	napo1242	qvo
Napu	napu1241	npy
Nar Phu	narp1239	npa
Nara	nara1262	nrb
Narak	nara1264	nac
Narango	nara1263	nrg
Narau	nara1265	nxu
Narim	nari1240	loh
Naro	naro1249	nhr
Narom	naro1251	nrm
Narrinyeri	narr1259	nay
Narungga	naru1238	nnr
Nasal	nasa1239	nsy
Nasarian	nasa1240	nvh
Naskapi	nask1242	nsk
Nasvang	nasv1234	NA
Natagaimas	nata1238	nts
Natanzi	nata1252	ntz
Nataoran Amis	nata1254	ais
Natchez	natc1249	ncz
Nateni	nate1242	ntm
Nathembo	nath1238	nte
Nati	nati1244	NA
Natioro	nati1243	nti
Natu	natu1248	NA
Natugu (Retired)	natu1249	stc
Natugu	natu1246	ntu
Nauete	naue1237	nxa
Naukan Yupik	nauk1242	ynk
Nauna	naun1237	ncn
Nauo	nauo1235	nwo
Nauru	naur1243	nau
Navajo	nava1243	nav
Navut	navu1237	nsw
Navwien	navw1234	NA
Nawa	nawa1239	NA
Nawaru	nawa1258	nwr
Nawathinehena	nawa1259	nwa
Nawdm	nawd1238	nmz
Nawuri	nawu1242	naw
Naxi (Retired)	naxi1246	nbf
Naxi	naxi1245	nxq
Nayi	nayi1243	noz
Nayini	nayi1242	nyq
Ncane	ncan1245	ncr
Nchumbulu	nchu1238	nlu
Nda'nda'	ndan1241	nnz
Ndai	ndai1238	gke
Ndaka	ndak1241	ndk
Ndaktup	ndak1242	ncp
Ndali	ndal1241	ndh
Ndam	ndam1251	ndm
Ndamba	ndam1239	ndj
Ndambomo	ndam1254	nxo
Ndasa	ndas1238	nda
Ndau	ndau1241	ndc
Nde-Gbite	ndeg1238	ned
Nde-Nsele-Nta	nden1250	ndd
Ndemli	ndem1249	nml
Ndendeule	nden1249	dne
Ndengereko	nden1248	ndg
Nding	ndin1245	eli
Ndo	ndoo1242	ndp
Ndobo	ndob1238	ndw
Ndoe	ndoe1238	nbb
Ndogo	ndog1248	ndz
Ndolo	ndol1238	ndl
Ndom	ndom1245	nqm
Ndombe	ndom1244	ndq
Ndonde Hamba	ndon1252	njd
Ndonga	ndon1254	ndo
Ndoola	ndoo1241	ndr
Nduga	ndug1245	ndx
Ndumu	ndum1239	nmd
Ndunda	ndun1251	nuh
Ndunga	ndun1249	ndt
Ndunic	ahwa1235	nfd
Ndut	ndut1239	ndv
Ndyuka-Trio Pidgin	ndyu1241	njt
Ndzwani Comorian	ndzw1235	wni
Nedebang	nede1245	nec
Nefamese	nefa1235	nef
Negerhollands	nege1244	dcr
Negeri Sembilan Malay	nege1240	zmi
Negidal	negi1245	neg
Nehan	neha1247	nsn
Nek	nekk1240	nif
Nekgini	nekg1240	nkg
Neko	neko1240	nej
Neku	neku1237	nek
Neme	neme1244	nex
Nemi	nemi1240	nem
Nen	nenn1238	nqn
Nend	nend1239	anh
Nengone	neng1238	nen
Neo (Artificial Language)	neoa1234	neu
Nepalese Sign Language	nepa1250	nsp
Nepali Kurux	nepa1253	kxl
Nepali	nepa1254	npi
Nese	nese1235	NA
Nete	nete1240	net
Nethalp	lore1244	lnn
Neutral-Atiouandaronk	neut1237	NA
Neve'ei	vinm1237	vnm
Neverver	ling1265	lgk
New Caledonian Javanese	newc1244	jas
New Caledonian Pidgin French	newc1245	NA
New River Shasta	newr1237	NA
New South Wales Pidgin	news1234	NA
New Zealand Sign Language	newz1236	nzs
Neyo	neyo1238	ney
Nez Perce	nezp1238	nez
Nga La	ngal1291	hlt
Ngaalam	ngaa1241	NA
Ngaanyatjarra	ngaa1240	ntj
Ngad'a	ngad1261	nxg
Ngadjunmaya	ngad1258	nju
Ngadjuri	ngad1257	NA
Ngaing	ngai1241	nnf
Ngaju	ngaj1237	nij
Ngala	ngal1300	nud
Ngala of Lake Chad	ngal1301	NA
Ngala-Santandrea	ngal1296	NA
Ngalakan	ngal1293	nig
Ngalkbun	ngal1292	ngk
Ngalum	ngal1298	szb
Ngam	ngam1269	nmc
Ngamambo	ngam1267	nbv
Ngambay	ngam1268	sba
Ngamini-Yarluyandi-Karangura	ngam1265	nmv
Ngamo	ngam1282	nbh
Nganasan	ngan1291	nio
Ngandi	ngan1295	nid
Ngando (Central African Republic)	ngan1304	ngd
Ngando-Lalia	ngan1302	nxd
Ngandyera	ngan1300	nne
Ngangam	ngan1299	gng
Nganyaywana	ngan1296	nyx
Ngardi	ngar1288	rxd
Ngarinman	ngar1235	nbj
Ngarinyin	ngar1284	ung
Ngarla	ngar1296	nrk
Ngarla on the Ashburton river south of the Hamersley range	ngar1286	nlr
Ngarluma	ngar1287	nrl
Ngas	ngas1240	anc
Ngasa	ngas1238	nsg
